255 0xFF 0b11111111     895 0x37F 0b1101111111    1535 0x5FF 0b10111111111   2175 0x87F 0b100001111111  2815 0xAFF 0b101011111111  3455 0xD7F 0b110101111111
256 0x100 0b100000000   896 0x380 0b1110000000    1536 0x600 0b11000000000   2176 0x880 0b100010000000  2816 0xB00 0b101100000000  3456 0xD80 0b110110000000
257 0x101 0b100000001   897 0x381 0b1110000001    1537 0x601 0b11000000001   2177 0x881 0b100010000001  2817 0xB01 0b101100000001  3457 0xD81 0b110110000001
258 0x102 0b100000010   898 0x382 0b1110000010    1538 0x602 0b11000000010   2178 0x882 0b100010000010  2818 0xB02 0b101100000010  3458 0xD82 0b110110000010
259 0x103 0b100000011   899 0x383 0b1110000011    1539 0x603 0b11000000011   2179 0x883 0b100010000011  2819 0xB03 0b101100000011  3459 0xD83 0b110110000011
260 0x104 0b100000100   900 0x384 0b1110000100    1540 0x604 0b11000000100   2180 0x884 0b100010000100  2820 0xB04 0b101100000100  3460 0xD84 0b110110000100
261 0x105 0b100000101   901 0x385 0b1110000101    1541 0x605 0b11000000101   2181 0x885 0b100010000101  2821 0xB05 0b101100000101  3461 0xD85 0b110110000101
262 0x106 0b100000110   902 0x386 0b1110000110    1542 0x606 0b11000000110   2182 0x886 0b100010000110  2822 0xB06 0b101100000110  3462 0xD86 0b110110000110
263 0x107 0b100000111   903 0x387 0b1110000111    1543 0x607 0b11000000111   2183 0x887 0b100010000111  2823 0xB07 0b101100000111  3463 0xD87 0b110110000111
264 0x108 0b100001000   904 0x388 0b1110001000    1544 0x608 0b11000001000   2184 0x888 0b100010001000  2824 0xB08 0b101100001000  3464 0xD88 0b110110001000
265 0x109 0b100001001   905 0x389 0b1110001001    1545 0x609 0b11000001001   2185 0x889 0b100010001001  2825 0xB09 0b101100001001  3465 0xD89 0b110110001001
266 0x10A 0b100001010   906 0x38A 0b1110001010    1546 0x60A 0b11000001010   2186 0x88A 0b100010001010  2826 0xB0A 0b101100001010  3466 0xD8A 0b110110001010
267 0x10B 0b100001011   907 0x38B 0b1110001011    1547 0x60B 0b11000001011   2187 0x88B 0b100010001011  2827 0xB0B 0b101100001011  3467 0xD8B 0b110110001011
268 0x10C 0b100001100   908 0x38C 0b1110001100    1548 0x60C 0b11000001100   2188 0x88C 0b100010001100  2828 0xB0C 0b101100001100  3468 0xD8C 0b110110001100
269 0x10D 0b100001101   909 0x38D 0b1110001101    1549 0x60D 0b11000001101   2189 0x88D 0b100010001101  2829 0xB0D 0b101100001101  3469 0xD8D 0b110110001101
270 0x10E 0b100001110   910 0x38E 0b1110001110    1550 0x60E 0b11000001110   2190 0x88E 0b100010001110  2830 0xB0E 0b101100001110  3470 0xD8E 0b110110001110
271 0x10F 0b100001111   911 0x38F 0b1110001111    1551 0x60F 0b11000001111   2191 0x88F 0b100010001111  2831 0xB0F 0b101100001111  3471 0xD8F 0b110110001111
272 0x110 0b100010000   912 0x390 0b1110010000    1552 0x610 0b11000010000   2192 0x890 0b100010010000  2832 0xB10 0b101100010000  3472 0xD90 0b110110010000
273 0x111 0b100010001   913 0x391 0b1110010001    1553 0x611 0b11000010001   2193 0x891 0b100010010001  2833 0xB11 0b101100010001  3473 0xD91 0b110110010001
274 0x112 0b100010010   914 0x392 0b1110010010    1554 0x612 0b11000010010   2194 0x892 0b100010010010  2834 0xB12 0b101100010010  3474 0xD92 0b110110010010
275 0x113 0b100010011   915 0x393 0b1110010011    1555 0x613 0b11000010011   2195 0x893 0b100010010011  2835 0xB13 0b101100010011  3475 0xD93 0b110110010011
276 0x114 0b100010100   916 0x394 0b1110010100    1556 0x614 0b11000010100   2196 0x894 0b100010010100  2836 0xB14 0b101100010100  3476 0xD94 0b110110010100
277 0x115 0b100010101   917 0x395 0b1110010101    1557 0x615 0b11000010101   2197 0x895 0b100010010101  2837 0xB15 0b101100010101  3477 0xD95 0b110110010101
278 0x116 0b100010110   918 0x396 0b1110010110    1558 0x616 0b11000010110   2198 0x896 0b100010010110  2838 0xB16 0b101100010110  3478 0xD96 0b110110010110
279 0x117 0b100010111   919 0x397 0b1110010111    1559 0x617 0b11000010111   2199 0x897 0b100010010111  2839 0xB17 0b101100010111  3479 0xD97 0b110110010111
280 0x118 0b100011000   920 0x398 0b1110011000    1560 0x618 0b11000011000   2200 0x898 0b100010011000  2840 0xB18 0b101100011000  3480 0xD98 0b110110011000
281 0x119 0b100011001   921 0x399 0b1110011001    1561 0x619 0b11000011001   2201 0x899 0b100010011001  2841 0xB19 0b101100011001  3481 0xD99 0b110110011001
282 0x11A 0b100011010   922 0x39A 0b1110011010    1562 0x61A 0b11000011010   2202 0x89A 0b100010011010  2842 0xB1A 0b101100011010  3482 0xD9A 0b110110011010
283 0x11B 0b100011011   923 0x39B 0b1110011011    1563 0x61B 0b11000011011   2203 0x89B 0b100010011011  2843 0xB1B 0b101100011011  3483 0xD9B 0b110110011011
284 0x11C 0b100011100   924 0x39C 0b1110011100    1564 0x61C 0b11000011100   2204 0x89C 0b100010011100  2844 0xB1C 0b101100011100  3484 0xD9C 0b110110011100
285 0x11D 0b100011101   925 0x39D 0b1110011101    1565 0x61D 0b11000011101   2205 0x89D 0b100010011101  2845 0xB1D 0b101100011101  3485 0xD9D 0b110110011101
286 0x11E 0b100011110   926 0x39E 0b1110011110    1566 0x61E 0b11000011110   2206 0x89E 0b100010011110  2846 0xB1E 0b101100011110  3486 0xD9E 0b110110011110
287 0x11F 0b100011111   927 0x39F 0b1110011111    1567 0x61F 0b11000011111   2207 0x89F 0b100010011111  2847 0xB1F 0b101100011111  3487 0xD9F 0b110110011111
288 0x120 0b100100000   928 0x3A0 0b1110100000    1568 0x620 0b11000100000   2208 0x8A0 0b100010100000  2848 0xB20 0b101100100000  3488 0xDA0 0b110110100000
289 0x121 0b100100001   929 0x3A1 0b1110100001    1569 0x621 0b11000100001   2209 0x8A1 0b100010100001  2849 0xB21 0b101100100001  3489 0xDA1 0b110110100001
290 0x122 0b100100010   930 0x3A2 0b1110100010    1570 0x622 0b11000100010   2210 0x8A2 0b100010100010  2850 0xB22 0b101100100010  3490 0xDA2 0b110110100010
291 0x123 0b100100011   931 0x3A3 0b1110100011    1571 0x623 0b11000100011   2211 0x8A3 0b100010100011  2851 0xB23 0b101100100011  3491 0xDA3 0b110110100011
292 0x124 0b100100100   932 0x3A4 0b1110100100    1572 0x624 0b11000100100   2212 0x8A4 0b100010100100  2852 0xB24 0b101100100100  3492 0xDA4 0b110110100100
293 0x125 0b100100101   933 0x3A5 0b1110100101    1573 0x625 0b11000100101   2213 0x8A5 0b100010100101  2853 0xB25 0b101100100101  3493 0xDA5 0b110110100101
294 0x126 0b100100110   934 0x3A6 0b1110100110    1574 0x626 0b11000100110   2214 0x8A6 0b100010100110  2854 0xB26 0b101100100110  3494 0xDA6 0b110110100110
295 0x127 0b100100111   935 0x3A7 0b1110100111    1575 0x627 0b11000100111   2215 0x8A7 0b100010100111  2855 0xB27 0b101100100111  3495 0xDA7 0b110110100111
296 0x128 0b100101000   936 0x3A8 0b1110101000    1576 0x628 0b11000101000   2216 0x8A8 0b100010101000  2856 0xB28 0b101100101000  3496 0xDA8 0b110110101000
297 0x129 0b100101001   937 0x3A9 0b1110101001    1577 0x629 0b11000101001   2217 0x8A9 0b100010101001  2857 0xB29 0b101100101001  3497 0xDA9 0b110110101001
298 0x12A 0b100101010   938 0x3AA 0b1110101010    1578 0x62A 0b11000101010   2218 0x8AA 0b100010101010  2858 0xB2A 0b101100101010  3498 0xDAA 0b110110101010
299 0x12B 0b100101011   939 0x3AB 0b1110101011    1579 0x62B 0b11000101011   2219 0x8AB 0b100010101011  2859 0xB2B 0b101100101011  3499 0xDAB 0b110110101011
300 0x12C 0b100101100   940 0x3AC 0b1110101100    1580 0x62C 0b11000101100   2220 0x8AC 0b100010101100  2860 0xB2C 0b101100101100  3500 0xDAC 0b110110101100
301 0x12D 0b100101101   941 0x3AD 0b1110101101    1581 0x62D 0b11000101101   2221 0x8AD 0b100010101101  2861 0xB2D 0b101100101101  3501 0xDAD 0b110110101101
302 0x12E 0b100101110   942 0x3AE 0b1110101110    1582 0x62E 0b11000101110   2222 0x8AE 0b100010101110  2862 0xB2E 0b101100101110  3502 0xDAE 0b110110101110
303 0x12F 0b100101111   943 0x3AF 0b1110101111    1583 0x62F 0b11000101111   2223 0x8AF 0b100010101111  2863 0xB2F 0b101100101111  3503 0xDAF 0b110110101111
